Total,Big Plates,Small Plates
170.5,` 22.6 20.0 15.9               ,5.0 4.5 2.2
170.8,` 22.6 20.0 15.9               ,5.0 4.5 1.25 1.1
170.9,` 22.6 20.0                10.0 10.0,4.5 2.2 1.1
170.9,` 22.6 20.0      15.0          ,5.0 4.5 2.2 1.1
171.1,` 22.6 20.0 15.9               ,5.0 4.5 1.25 1.25
171.2,` 22.6 20.0                10.0 10.0,4.5 2.2 1.25
171.2,` 22.6 20.0      15.0          ,5.0 4.5 2.2 1.25
171.3,` 22.6 20.0           11.3 10.0,4.5 2.2
171.5,` 22.6 20.0                10.0 10.0,4.5 1.25 1.25 1.1
171.5,` 22.6 20.0      15.0          ,5.0 4.5 1.25 1.25 1.1
171.5,` 22.6 20.0 15.9           10.0,2.2
171.6,` 22.6 20.0           11.3 10.0,4.5 1.25 1.1
171.8,` 22.6 20.0 15.9           10.0,1.25 1.1
171.9,` 22.6 20.0           11.3 10.0,4.5 1.25 1.25
171.9,` 22.6 20.0      15.0      10.0,2.2 1.1
171.9,` 22.6 20.0 15.9      11.3     ,1.1
172.1,` 22.6 20.0 15.9           10.0,1.25 1.25
172.2,` 22.6 20.0      15.0      10.0,2.2 1.25
172.2,` 22.6 20.0 15.9      11.3     ,1.25
172.3,` 22.6 20.0           11.3 10.0,5.0 2.2
172.3,` 22.6 20.0      15.0 11.3     ,2.2
172.5,` 22.6 20.0      15.0      10.0,1.25 1.25 1.1
172.6,` 22.6 20.0           11.3 10.0,5.0 1.25 1.1
172.6,` 22.6 20.0      15.0 11.3     ,1.25 1.1
172.7,` 22.6 20.0 15.9               ,5.0 4.5 2.2 1.1
172.9,` 22.6 20.0           11.3 10.0,5.0 1.25 1.25
172.9,` 22.6 20.0      15.0 11.3     ,1.25 1.25
173.0,` 22.6 20.0 15.9               ,5.0 4.5 2.2 1.25
173.3,` 22.6 20.0 15.9               ,5.0 4.5 1.25 1.25 1.1
173.4,` 22.6 20.0      15.0          ,5.0 4.5 2.2 1.25 1.1
173.5,` 22.6 20.0           11.3 10.0,4.5 2.2 1.1
173.7,` 22.6 20.0                10.0 10.0,4.5 2.2 1.25 1.25
173.7,` 22.6 20.0      15.0          ,5.0 4.5 2.2 1.25 1.25
173.7,` 22.6 20.0 15.9           10.0,2.2 1.1
173.8,` 22.6 20.0           11.3 10.0,4.5 2.2 1.25
174.0,` 22.6 20.0 15.9           10.0,2.2 1.25
174.1,` 22.6 20.0           11.3 10.0,4.5 1.25 1.25 1.1
174.1,` 22.6 20.0 15.9      11.3     ,2.2
174.3,` 22.6 20.0      15.0      10.0,4.5
174.3,` 22.6 20.0 15.9           10.0,1.25 1.25 1.1
174.4,` 22.6 20.0      15.0      10.0,2.2 1.25 1.1
174.4,` 22.6 20.0 15.9      11.3     ,1.25 1.1
174.5,` 22.6 20.0           11.3 10.0,5.0 2.2 1.1
174.5,` 22.6 20.0      15.0 11.3     ,2.2 1.1
174.7,` 22.6 20.0      15.0      10.0,2.2 1.25 1.25
174.7,` 22.6 20.0 15.9      11.3     ,1.25 1.25
174.8,` 22.6 20.0           11.3 10.0,5.0 2.2 1.25
174.8,` 22.6 20.0      15.0 11.3     ,2.2 1.25
175.1,` 22.6 20.0           11.3 10.0,5.0 1.25 1.25 1.1
175.1,` 22.6 20.0      15.0 11.3     ,1.25 1.25 1.1
175.2,` 22.6 20.0 15.9               ,5.0 4.5 2.2 1.25 1.1
175.3,` 22.6 20.0      15.0      10.0,5.0
175.5,` 22.6 20.0 15.9               ,5.0 4.5 2.2 1.25 1.25
175.9,` 22.6 20.0      15.0          ,5.0 4.5 2.2 1.25 1.25 1.1
176.1,` 22.6 20.0 15.9           10.0,4.5
176.2,` 22.6 20.0 15.9           10.0,2.2 1.25 1.1
176.3,` 22.6 20.0           11.3 10.0,4.5 2.2 1.25 1.25
176.3,` 22.6 20.0 15.9      11.3     ,2.2 1.1
176.5,` 22.6 20.0      15.0      10.0,4.5 1.1
176.5,` 22.6 20.0 15.9           10.0,2.2 1.25 1.25
